question,answer
هل يمكن للحاج تأخير جمع الحصى حتى بعد مغادرة مزدلفة,لا، يجب على الحاج جمع الحصى في مزدلفة قبل مغادرتها والتوجه إلى منى
هل المبيت في مزدلفة يعني البقاء في الخيام,نعم، المبيت في مزدلفة يتم في خيام مخصصة للحجاج أو في الأماكن المخصصة للنوم
هل المبيت في مزدلفة يتم في الهواء الطلق,نعم، يمكن أن ينام الحجاج في الهواء الطلق في مزدلفة إذا كانت هناك حاجة لذلك، ولكنه يتم عادة في خيام
هل يمكن أن يؤدي الحاج الصلاة في مزدلفة أكثر من مرة,نعم، يستحب أن يؤدي الحاج صلاة المغرب والعشاء جمعا في مزدلفة، ويمكنه أداء صلاة الفجر في وقتها
هل يجوز للحاج البقاء في مزدلفة بعد الفجر,لا، يجب على الحاج مغادرة مزدلفة بعد صلاة الفجر للذهاب إلى منى
هل يجب أن يبيت الحاج في مزدلفة إذا كان عليه دين,نعم، لا يتغير حكم المبيت في مزدلفة إذا كان على الحاج دين، طالما كان مستطيعا
هل يمكن للحاج تأجيل المبيت في مزدلفة بسبب التعب,لا، لا يجوز تأجيل المبيت في مزدلفة إلا إذا كانت هناك عذر شرعي مثل المرض
هل المبيت في مزدلفة يقع تحت مسؤولية الحاج فقط,نعم، مسؤولية المبيت في مزدلفة تقع على الحاج نفسه، ويجب عليه الالتزام بذلك
هل يجوز للطفل المبيت في مزدلفة,نعم، يمكن للأطفال المبيت في مزدلفة، وتسهل لهم السلطات المحلية إقامة مريحة
هل يجب على الحاج جمع الحصى قبل المبيت في مزدلفة,نعم، يجب على الحاج جمع الحصى أثناء تواجده في مزدلفة بعد صلاة الفجر
هل يمكن للحاج المبيت في أماكن أخرى بدلًا من مزدلفة,لا، المبيت في مزدلفة هو جزء من مناسك الحج ولا يجوز للحاج تغييره
هل يمكن للحاج زيارة المزارات أو المعالم السياحية أثناء المبيت في مزدلفة,لا، يجب على الحاج التفرغ للمناسك خلال المبيت في مزدلفة وعدم التوجه للمعالم السياحية
هل يُسمح بتناول الطعام أثناء المبيت في مزدلفة,نعم، يمكن للحاج تناول الطعام في مزدلفة، ويستحب تناول الطعام الخفيف الذي يحافظ على الطاقة
هل المبيت في مزدلفة يختلف للحجاج الذين يسافرون مع وكالات السياحة,لا يختلف المبيت في مزدلفة سواء كان الحاج يسافر مع وكالة سياحية أو بمفرده، الجميع يخضع لنفس القوانين
هل يجب على الحاج دفع رسوم للمبيت في مزدلفة,لا، المبيت في مزدلفة هو جزء من مناسك الحج وهو مجاني لجميع الحجاج
هل يختلف عدد أيام المبيت في مزدلفة حسب نوع الحج,لا، في جميع أنواع الحج يتم المبيت في مزدلفة ليلة العيد فقط
هل يجب على الحاج أن يبيت في مكان محدد داخل مزدلفة,نعم، يجب على الحاج المبيت في الأماكن المخصصة للحجاج داخل حدود مزدلفة
هل يجوز للحاج جمع الحصى أثناء مغادرته لمزدلفة,لا، يجب جمع الحصى أثناء التواجد في مزدلفة قبل المغادرة
هل يمكن للحاج مغادرة مزدلفة بعد الفجر مباشرة,نعم، يمكن للحاج مغادرة مزدلفة بعد صلاة الفجر مباشرة متوجها إلى منى لرمي الجمار
هل يُسمح للمرأة المبيت في مزدلفة بمفردها,نعم، يسمح للمرأة المبيت في مزدلفة بمفردها إذا كانت ضمن مجموعة آمنة أو برفقة محرم
هل يُعتبر المبيت في مزدلفة فرصة للتعبير عن التوبة,نعم، المبيت في مزدلفة فرصة كبيرة للدعاء والتوبة والاستغفار، ويستحب الإكثار من الذكر
ما هو رمي الجمار,رمي الجمار هو أحد مناسك الحج، حيث يرمي الحجاج الحصى على ثلاث جمرات تمثل إبليس في ثلاثة مواقع خلال أيام عيد الأضحى في منى
كم عدد الجمرات التي يرميها الحاج,يرمي الحاج ثلاث جمرات الجمرة الكبرى جمرة العقبة، والجمرة الوسطى، والجمرة الصغرى
ما هي جمرة العقبة,جمرة العقبة هي أكبر الجمرات، ويجب رميها في يوم عيد الأضحى اليوم العاشر من ذو الحجة
متى يبدأ رمي الجمار,يبدأ رمي الجمار في اليوم العاشر من ذو الحجة، وهو يوم عيد الأضحى، ثم يستمر حتى اليوم الثاني عشر يوم الحادي عشر من ذو الحجة
كم عدد الحصيات التي يجب رميها,يجب على الحاج رمي حصيات في كل جمرة وبالتالي، يكون إجمالي عدد الحصيات حصاة
هل يجوز رمي الجمار في الليل,نعم، يجوز رمي الجمار في الليل بشرط ألا يكون في وقت محظور، مثل وقت الصلاة
هل يجب رمي الجمار مباشرة أو يجوز التأخير,يجب على الحاج رمي الجمار في الوقت المحدد؛ لكن إذا تأخر عن الوقت المحدد بسبب ظروف معقولة، يمكنه الرمي لاحقا
هل يجوز رمي الجمار باليد اليمنى فقط,لا يشترط أن يكون الرمي باليد اليمنى، بل يمكن استخدام اليد اليسرى إذا كانت هناك حاجة لذلك
هل يجوز رمي الجمار باستخدام الحجارة الجاهزة أو يجب جمع الحصى,يمكن رمي الجمار باستخدام الحصى الجاهز المتوفر في منى، أو يمكن جمع الحصى من أي مكان في حدود منى
ما هو حكم رمي الجمار لمن فاته الرمي,إذا فاته الرمي في يومه، يجب عليه أن يرمي في وقت لاحق، وإذا ترك الرمي عمدا، فإنه يجب عليه دفع فدية
هل يجب على الحاج رمي الجمار بترتيب معين,نعم، يجب رمي الجمار بترتيب معين تبدأ من الجمرة الصغرى، ثم الجمرة الوسطى، وأخيرا الجمرة الكبرى جمرة العقبة
هل يجوز رمي الجمار من بعيد,لا يجوز رمي الجمار من مكان بعيد عن الجمرة، بل يجب أن يكون الرمي من المكان المخصص
هل يجب الوقوف عند الجمار قبل رميها,لا، لا يجب الوقوف عند كل جمرة، بل يكفي أن يرمي الحاج الحصى على الجمرات مباشرة
